course,section,sectioncapacity,dow,startingtime,duration,room,firstname,lastname
COMP1103,1,50,Wednesday,8:30,1:30,O226,TBA001,COMP
COMP1103,1,50,Friday,8:30,1:30,O226,TBA001,COMP
COMP1103,501,25,Friday,11:30,1:00,E203,TBA001,COMP
COMP1103,502,25,Friday,12:30,1:00,E203,TBA001,COMP
COMP1103,2,50,Monday,11:30,1:30,T107,TBA001,COMP
COMP1103,2,50,Wednesday,11:30,1:30,T107,TBA001,COMP
COMP1103,503,25,Friday,14:00,1:00,B162,TBA001,COMP
COMP1103,504,25,Friday,15:00,1:00,B162,TBA001,COMP
COMP1103,3,50,Tuesday,11:30,1:30,O218,TBA001,COMP
COMP1103,3,50,Thursday,11:30,1:30,O218,TBA001,COMP
COMP1103,505,25,Thursday,13:30,1:00,B162,TBA001,COMP
COMP1103,506,25,Thursday,14:30,1:00,B162,TBA001,COMP
COMP1207,1,35,Monday,8:30,1:30,E203,Shoba,Ittyipe
COMP1207,1,35,Wednesday,8:30,1:30,E203,Shoba,Ittyipe
COMP1501,1,60,Monday,11:30,1:30,EA1024,Charlotte,Curtis
COMP1501,1,60,Wednesday,11:30,1:30,EA1024,Charlotte,Curtis
COMP1501,401,20,Thursday,14:00,1:00,B107,Charlotte,Curtis
COMP1501,402,20,Thursday,15:00,1:00,B107,Charlotte,Curtis
COMP1501,403,20,Thursday,16:00,1:00,B107,Charlotte,Curtis
COMP1501,501,20,Tuesday,10:30,1:00,B107,Charlotte,Curtis
COMP1501,502,20,Tuesday,11:30,1:00,B107,Charlotte,Curtis
COMP1501,503,20,Tuesday,12:30,1:00,B107,Charlotte,Curtis
COMP1501,2,40,Monday,10:00,1:30,T137,TBA002,COMP
COMP1501,2,40,Wednesday,10:00,1:30,T137,TBA002,COMP
COMP1501,404,20,Thursday,8:30,1:00,B107,TBA002,COMP
COMP1501,405,20,Thursday,9:30,1:00,B107,TBA002,COMP
COMP1501,504,20,Tuesday,8:30,1:00,B107,TBA002,COMP
COMP1501,505,20,Tuesday,9:30,1:00,B107,TBA001,COMP
COMP1501,505,20,Tuesday,9:30,1:00,B107,TBA002,COMP
COMP1502,1,30,Wednesday,14:30,1:30,E123,TBA002,COMP
COMP1502,1,30,Friday,14:30,1:30,E123,TBA002,COMP
COMP1502,401,30,Wednesday,16:00,1:00,B162,TBA002,COMP
COMP1502,501,30,Friday,16:00,1:00,B162,TBA002,COMP
COMP1631,1,34,Monday,10:00,1:00,EA1070,TBA003,COMP
COMP1631,1,34,Tuesday,10:00,1:00,EA1070,TBA003,COMP
COMP1631,1,34,Thursday,10:00,1:00,EA1070,TBA003,COMP
COMP1631,401,17,Wednesday,9:00,1:00,B107,TBA003,COMP
COMP1631,401,17,Friday,9:00,1:00,B107,TBA003,COMP
COMP1631,402,17,Wednesday,10:00,1:00,B107,TBA003,COMP
COMP1631,402,17,Friday,10:00,1:00,B107,TBA003,COMP
COMP1631,2,34,Monday,11:30,1:00,EA1050,Patrick,Perri
COMP1631,2,34,Tuesday,11:30,1:00,EA1050,Patrick,Perri
COMP1631,2,34,Thursday,11:30,1:00,EA1050,Patrick,Perri
COMP1631,403,17,Wednesday,11:00,1:00,B107,Patrick,Perri
COMP1631,403,17,Friday,11:00,1:00,B107,Patrick,Perri
COMP1631,404,17,Wednesday,12:00,1:00,B107,Patrick,Perri
COMP1631,404,17,Friday,12:00,1:00,B107,Patrick,Perri
COMP2001,1,50,Monday,11:30,1:00,O222,TBA004,COMP
COMP2001,1,50,Tuesday,11:30,1:00,O222,TBA004,COMP
COMP2001,1,50,Thursday,11:30,1:00,O222,TBA004,COMP
COMP2001,401,25,Wednesday,11:00,1:00,B162,TBA004,COMP
COMP2001,401,25,Friday,11:00,1:00,B162,TBA004,COMP
COMP2001,402,25,Monday,10:00,1:00,B162,TBA004,COMP
COMP2001,402,25,Wednesday,10:00,1:00,B162,TBA004,COMP
COMP2001,2,50,Monday,10:00,1:30,T107,Faith-Michael,Uzoka
COMP2001,2,50,Wednesday,10:00,1:30,T107,Faith-Michael,Uzoka
COMP2001,403,25,Monday,14:30,1:00,B107,Faith-Michael,Uzoka
